,gene_symbol,myAUC,myDiff,power,cluster #
2426,OSBPL1A,0.752,1.329635,0.252,19
2427,MGLL,0.763,1.294623,0.263,19
2428,GABRG2,0.757,1.291374,0.257,19
2429,GNG3,0.828,1.268832,0.328,19
2430,GRIA2,0.830,1.263501,0.330,19
2431,BASP1,0.810,1.253882,0.310,19
2432,STMN3,0.809,1.238855,0.309,19
2433,GAS7,0.711,1.233308,0.211,19
2434,CELF4,0.831,1.232486,0.331,19
2435,SPOCK3,0.771,1.231314,0.271,19
2436,DLG2,0.718,1.209247,0.218,19
2437,STMN4,0.732,1.207910,0.232,19
2438,ZFP804A,0.711,1.206180,0.211,19
2439,SPARCL1,0.760,1.196819,0.260,19
2440,THRA,0.783,1.194146,0.283,19
2441,MLLT11,0.751,1.190315,0.251,19
2442,GRIA3,0.722,1.173347,0.222,19
2443,TCEAL5,0.740,1.171672,0.240,19
2444,GABRB2,0.707,1.167103,0.207,19
2445,LHFP,0.721,1.165278,0.221,19
2446,HMGCS1,0.731,1.155608,0.231,19
2447,UBASH3B,0.710,1.154651,0.210,19
2448,TMEM215,0.764,1.134491,0.264,19
2449,TAGLN3,0.797,1.134360,0.297,19
2450,HSD17B12,0.778,1.130471,0.278,19
2451,SLC32A1,0.733,1.119009,0.233,19
2452,ABAT,0.708,1.118345,0.208,19
2453,CALM2,0.829,1.105143,0.329,19
2454,ATPIF1,0.795,1.102584,0.295,19
2455,GNAS,0.833,1.076868,0.333,19
2456,SYT4,0.779,1.071587,0.279,19
2457,TTC3,0.832,1.066694,0.332,19
2458,CAMK2N1,0.768,1.054984,0.268,19
2459,TUBB2A,0.780,1.041674,0.280,19
2460,RIT2,0.712,1.039586,0.212,19
2461,PIK3R3,0.717,1.034720,0.217,19
2462,SV2A,0.772,1.033485,0.272,19
